I,Q
-11425,-2527
-11594,-1836
-9182,-1296
-4720,-1033
598,-1072
5360,-1331
8368,-1832
8814,-2734
6490,-4036
1845,-5526
-3784,-6793
-8446,-7315
-10133,-6738
-7723,-4990
-1705,-2443
5787,345
11793,2686
14049,3931
12075,3701
7344,2044
2458,-536
-340,-3383
-145,-5931
2184,-7667
4655,-8136
5317,-7051
3011,-4402
-2043,-557
-8580,3479
-14677,6436
-18443,7455
-18759,6269
-15507,3545
-9649,661
-2922,-1002
2840,-551
6501,1975
7691,5648
6964,9000
5131,10610
2951,9645
806,6030
-1133,604
-2833,-5301
-4209,-10355
-5092,-13659
-5321,-15066
-4791,-14763
-3642,-13034
-2065,-9944
-321,-5494
1246,-92
2303,5314
2563,9409
1959,11009
767,9823
-430,6773
-1064,3445
-1156,1242
-1411,587
-2748,696
-5487,27
-8851,-2505
-11204,-6966
-10889,-11993
-7317,-15577
-1560,-16091
4044,-12966
7271,-6932
7084,423
4430,7045
1351,11319
-99,12538
956,10797
3875,7196
7018,3226
8857,291
8782,-938
7255,-906
5205,-692
3335,-1389
1813,-3403
314,-6124
-1549,-8314
-3674,-8931
-5359,-7814
-5639,-5666
-4007,-3649
-916,-2574
2175,-2274
3503,-1947
1974,-753
-1969,1494
-6512,4209
-9328,6187
-8983,6339
-5833,4454
-1726,1498
1087,-940
1352,-1443
-632,419
-3411,3763
-5286,6654
-5288,7117
-3470,4319
-481,-935
2919,-6415
5965,-9678
8040,-9242
8334,-5429
6421,-244
2600,3893
-1948,5437
-5417,4443
-6390,2386
-4695,1124
-1402,1876
1549,4362
2870,7179
2405,8618
1215,7665
662,4648
1471,912
3262,-2041
5009,-3527
5762,-3690
5121,-3291
3446,-2895
1368,-2430
-547,-1421
-2169,426
-3618,2649
-4952,4305
-5880,4418
-5976,2763
-4840,154
-2612,-1940
-63,-2175
1743,-170
1929,3324
572,6906
-1388,9088
-2512,9096
-1752,6889
817,3055
3972,-1526
6009,-5901
5799,-9265
3670,-10930
910,-10686
-867,-8822
-820,-6079
661,-3381
2366,-1361
3182,-235
2666,247
1149,438
-561,623
-1790,767
-2150,677
-1633,480
-421,621
1300,1727
3019,4080
4095,7382
3953,10708
2616,12920
819,13458
-300,12455
42,10624
1690,8517
3624,6213
4562,3525
3693,396
1215,-2508
-1820,-4051
-4280,-3258
-5372,-246
-5139,3614
-4272,6264
-3568,6255
-3468,3531
-3840,-427
-4034,-3566
-3191,-4444
-845,-3013
2791,-637
6690,1106
9361,1114
9483,-526
6728,-2715
2055,-4342
-2554,-4771
-5266,-4015
-5242,-2636
-3058,-1162
-206,141
1731,1250
2041,2011
727,2154
-1521,1434
-3948,-64
-6021,-1876
-7367,-3468
-7599,-4661
-6381,-5673
-3653,-7012
129,-8890
3714,-10742
5827,-11252
5640,-8992
3408,-3526
323,4006
-2235,11018
-3413,14586
-3345,12919
-2910,6435
-3135,-2268
-4367,-9782
-6178,-13150
-7663,-11353
-8037,-5612
-7061,1585
-5317,7621
-3724,10912
-2986,11571
-3222,10713
-3925,9418
-4486,8169
-4551,6761
-3951,4916
-2652,2671
-526,640
2605,-394
6420,-37
9950,1496
11803,3160
10959,3750
7675,2396
3503,-945
528,-5435
200,-9680
2192,-12235
4554,-12349
5164,-10145
3103,-6678
-479,-3496
-2901,-1899
-1793,-2388
3345,-4287
10656,-6132
17037,-6417
19862,-4443
18386,-723
13996,3491
9207,6771
6311,8118
6202,7379
8213,5121
10556,2138
11374,-844
9573,-3404
5366,-5176
179,-5960
-3985,-5584
-5343,-4127
-3282,-2160
1309,-360
6327,542
9554,290
9869,-916
7697,-2431
4497,-3393
1786,-3067
222,-1042
-594,2382
-1332,6146
-2336,8499
-3124,7841
-2959,3424
-1551,-3952
732,-12188
2938,-18621
4282,-21150
4499,-19181
3942,-14096
3022,-8300
1883,-4170
337,-2781
-1869,-3655
-4406,-5240
-6488,-5970
-7097,-5251
-5711,-3818
-2629,-2946
1071,-3708
4275,-5990
6136,-8521
6545,-9797
5911,-9043
4717,-6890
3141,-5037
1014,-5015
-1973,-7135
-5825,-10208
-9807,-12339
-12669,-12242
-13228,-9986
-11071,-6815
-7102,-4290
-3029,-3272
-587,-3671
-666,-4638
-2833,-5267
-5656,-5181
-7307,-4439
-6527,-3257
-3104,-1961
1884,-997
6722,-965
9626,-2360
9498,-5303
6427,-9011
1418,-12023
-3768,-12798
-7496,-10669
-8898,-6362
-8222,-1920
-6445,449
-4699,-236
-3524,-3176
-2783,-6302
-2104,-7397
-1476,-5541
-1281,-1415
-2150,3116
-4467,6179
-7919,7015
-11574,5943
-14399,4064
-15566,2325
-14873,1327
-12894,1098
-10506,1506
-8347,2526
-6645,4126
-5168,6037
-3400,7562
-1076,7815
1663,6315
4283,3351
6233,1
7049,-2536
6696,-3451
5544,-2538
4020,-261
2609,2724
1570,5726
1038,8165
1045,9548
1459,9546
2175,8225
2998,6096
3809,3827
4442,1949
4690,517
4341,-890
3260,-2725
1510,-5026
-434,-6997
-1702,-7473
-1613,-5601
-99,-1591
2237,3135
4187,6554
4588,7165
3226,4890
776,1176
-1613,-1814
-2989,-2332
-3147,70
-2521,4318
-1698,8520
-930,10986
-194,10901
708,8567
1790,4895
2807,606
3512,-3802
3647,-8053
3178,-11806
2142,-14557
442,-15909
-2035,-15811
-5219,-14603
-8491,-12793
-10901,-10541
-11398,-7629
-9473,-3783
-5554,657
-837,4538
3284,6291
5862,4994
6755,1130
6458,-3359
5690,-6103
5011,-5457
4506,-1502
3978,3989
3077,8906
1849,11663
718,11988
458,10846
1547,9566
3848,9027
6533,9284
8381,9613
8539,9229
6945,7853
4261,5870
1568,4072
-226,3274
-760,3613
-78,4591
1495,5189
3526,4427
5709,1948
7651,-1881
8882,-6103
8932,-9504
7531,-11030
4749,-10267
1021,-7286
-2917,-2893
-6284,1675
-8467,5083
-9031,6452
-7976,5498
-5864,2825
-3454,-355
-1421,-2910
-37,-4076
1114,-3968
2569,-3356
4441,-3110
6007,-3792
6208,-5268
4580,-6665
1727,-6931
-865,-5522
-1804,-2633
-694,660
1518,2760
3249,2528
3412,-123
2162,-4138
709,-7677
333,-9208
1359,-8088
2635,-4824
2421,-665
-234,3409
-4729,6997
-8860,10096
-10245,12709
-7700,14214
-2011,13776
4581,10718
9709,5481
12147,-637
12135,-5983
10934,-9320
9866,-10329
9350,-9435
8738,-7498
7039,-5236
3733,-3016
-512,-1191
-4170,-52
-5738,18
-4645,-1045
-1685,-3048
1284,-5285
2383,-7039
753,-7989
-2850,-8166
-6480,-7761
-8205,-7043
-7009,-6091
-3411,-5058
1011,-4083
4422,-3377
5691,-2867
4906,-2286
3074,-1196
1438,602
663,2877
567,4886
381,5766
-634,5036
-2609,2871
-4911,164
-6502,-1954
-6593,-2677
-5151,-1809
-2968,339
-1388,3120
-1365,5845
-3149,7849
-5729,8393
-7490,6874
-7275,3000
-5068,-2785
-2118,-9233
-2,-14454
244,-16700
-1244,-15310
-3126,-10997
-3762,-5536
-2169,-748
1642,2380
6466,3975
10700,4858
13199,5554
13783,5967
13113,5273
12148,2893
11415,-875
10620,-4764
8974,-7038
5876,-6574
1480,-3429
-3134,803
-6433,3976
-7163,4423
-5158,1672
-1615,-3320
1551,-8640
2662,-12368
1370,-13384
-1518,-11680
-4351,-8103
-5759,-3985
-5429,-469
-4073,1861
-2867,3095
-2774,3565
-4172,3554
-6725,2985
-9615,1465
-11819,-1362
-12502,-5469
-11212,-10158
-8176,-14231
-4211,-16449
-421,-15843
2202,-12092
3147,-5737
2489,1918
1038,9136
-248,14032
-597,15323
310,12913
2388,8024
5209,2872
8075,-190
10345,393
11592,4453
11681,10000
10773,14338
9309,15253
7671,12030
5933,5680
4063,-1523
2095,-7190
471,-9550
-60,-8231
1124,-4115
3955,1020
7552,5147
10583,6792
11984,5727
11581,3147
9933,996
8022,1093
6398,4010
4939,8536
2880,12306
-345,12836
-4702,8847
-9357,1038
-12979,-8255
-14308,-16300
-12778,-21020
-8732,-21711
-3205,-18944
2332,-13976
6586,-8174
8691,-2739
8653,1261
7073,2859
4886,1378
2976,-2963
1636,-8642
658,-13306
-348,-14548
-1669,-11313
-3238,-4323
-4738,3984
-5752,10470
-6120,12959
-5782,11141
-4809,6719
-3210,2470
-1033,820
1286,2680
3004,7036
3147,11478
1113,13279
-2906,10797
-7793,4186
-11949,-4511
-13945,-12209
-13274,-16053
-10340,-14783
-6233,-9136
-2195,-1434
945,5563
2869,9767
3797,10667
3952,9071
3611,6413
2811,4067
1478,2524
-305,1557
-2187,650
-3537,-506
-3723,-1809
-2417,-2955
109,-3781
2967,-4078
5185,-3774
6232,-2534
6316,34
6375,4148
7513,9277
10148,13925
13734,16256
16804,14801
17839,9541
16129,2000
12260,-5328
7771,-10118
4508,-11309
3515,-9457
4431,-6076
5846,-2973
6108,-1406
4213,-1719
476,-3659
-3568,-6660
-6077,-10115
-6030,-13640
-3683,-17002
-300,-19789
2660,-21340
4413,-20800
5372,-17513
6436,-11393
8145,-3369
10201,4781
11652,10800
11644,12979
10115,10958
8067,5868
6716,-180
6811,-5033
7942,-7492
8895,-7727
8658,-6619
6977,-5339
4807,-4418
3634,-3898
4486,-3635
7163,-3615
10291,-4053
12007,-5279
10861,-7160
6554,-9038
163,-9821
-6413,-8600
-11123,-5192
-12384,-147
-9741,5463
-4108,10513
2693,14043
8474,15464
11505,14315
10992,10492
7436,4577
2291,-2067
-2664,-7563
-6006,-10207
-7093,-9321
-6196,-5841
-4131,-1606
-1842,1465
37,2566
1402,2362
2353,2357
3054,3879
3562,7249
3685,11312
3203,14323
1866,14764
-363,12251
-3230,7560
-6318,2349
-9091,-1909
-10970,-4557
-11458,-5833
-10201,-6396
-7267,-6923
-3337,-7768
400,-8689
2703,-9350
2660,-9501
248,-9176
-3826,-8393
-8274,-7450
-11813,-6490
-13544,-5625
-13148,-5054
-11031,-5047
-7958,-5695
-4856,-6499
-2557,-6538
-1480,-4689
-1850,-535
-3552,5239
-6205,10902
-8951,14299
-10610,13955
-9989,9653
-6568,2625
-871,-4927
5259,-10745
9474,-13377
9948,-12535
6384,-9126
260,-4636
-5870,-548
-9801,2054
-10604,2647
-8798,1270
-5637,-1806
-2204,-5896
1203,-9952
4788,-12783
8577,-13469
11838,-11671
13510,-8085
12663,-3925
9177,-318
3904,2223
-1698,4064
-6093,5925
-8129,8241
-7344,10546
-3887,11645
1237,10243
6505,5929
10094,-512
10742,-7338
8071,-12720
3024,-15586
-2729,-15932
-7108,-14550
-8582,-12337
-6467,-9882
-1207,-7042
5791,-3554
12572,753
17259,5296
18599,8856
16319,9948
11305,7970
5244,3642
-247,-1022
-4234,-3811
-6679,-3540
-8126,-690
-9220,2830
-10111,4848
-10335,4214
-9407,1528
-7267,-1494
-4401,-3004
-1685,-2396
175,-742
924,-86
870,-2042
542,-6560
377,-11697
580,-14570
1066,-12897
1481,-6335
1527,3188
895,12362
-388,18112
-1961,18928
-3155,15436
-3330,9841
-2311,4508
-588,988
763,-611
736,-1129
-1269,-1491
-4795,-1807
-8511,-1610
-10897,-105
-11203,3008
-9847,7319
-8100,11673
-7504,14751
-8914,15526
-12104,13758
-16041,10132
-19058,5745
-19857,1621
-17712,-1718
-13002,-4309
-7151,-6447
-2118,-8222
534,-9359
348,-9339
-1513,-7694
-3084,-4334
-2476,243
983,5117
6299,9111
11350,11311
14045,11301
13329,9415
9744,6508
4844,3605
316,1481
-2895,439
-4616,118
-5389,-174
-5684,-862
-5765,-1805
-5527,-2138
-4973,-781
-4151,2838
-3119,8231
-1923,13973
-382,18403
1710,20270
4263,19366
7045,16386
9403,12426
10763,8468
10806,5155
9638,2813
7661,1642
5369,1667
3060,2520
1032,3511
-450,4032
-834,3670
324,2738
2943,1957
6191,1883
8779,2462
9695,2835
8892,1825
7286,-1192
6061,-5660
5830,-9779
6083,-11502
5642,-9608
3507,-4703
-190,894
-4010,4357
-6108,3832
-5236,-639
-1876,-6999
1999,-12485
3853,-14775
1986,-13218
-3370,-8840
-10218,-3807
-15668,-235
-17378,592
-14535,-1217
-8154,-4461
-345,-7329
6676,-8112
11486,-6109
13775,-1963
13839,2569
12216,5259
9073,4793
4544,1624
-888,-2081
-6052,-3694
-9388,-1549
-9797,3861
-7234,10107
-3187,14167
158,14115
753,10025
-2046,3892
-7189,-1600
-12272,-4558
-14695,-4701
-13014,-3247
-7518,-1964
-281,-2035
6027,-3387
9344,-4712
9310,-4429
7311,-1472
5435,3815
5186,9959
6545,15036
7968,17591
7391,17273
3788,14614
-2089,10615
-7728,6014
-10191,987
-7914,-4264
-1475,-9296
6403,-13157
12449,-14783
14294,-13459
11671,-9630
6359,-4560
749,167
-3304,3462
-5506,5209
-6672,5889
-7667,6104
-8682,5796
-9052,4562
-7984,2010
-5299,-1563
-1929,-4982
633,-6820
1395,-6267
480,-3910
-1116,-1395
-2151,-737
-2006,-2944
-969,-7434
-175,-12305
-786,-15316
-3378,-15124
-7524,-11709
-11924,-6301
-14923,-647
-15266,3921
-12597,6623
-7775,7390
-2592,6539
1044,4527
2145,1856
1017,-883
-1089,-3160
-2790,-4642
-3597,-5250
-3952,-5108
-4808,-4354
-6728,-3135
-9163,-1319
-10792,889
-10568,3246
-8353,5250
-5098,6280
-2234,6096
-757,4797
-734,2965
-1399,1037
-1789,-567
-1564,-1918
-1027,-3363
-714,-5107
-901,-7053
-1234,-8671
-1153,-9336
-387,-8860
675,-7379
1258,-5587
697,-4170
-949,-3381
-2885,-2951
-4148,-2298
-4216,-1006
-3397,708
-2527,2108
-2247,2287
-2784,788
-3784,-2085
-4818,-5267
-5578,-7484
-6091,-7986
-6278,-6770
-5799,-4841
-4358,-3404
-1853,-3118
1188,-3796
3854,-4341
5424,-3585
5721,-972
5355,2689
5303,5839
6163,6884
7923,5430
10045,2589
11752,332
12615,380
12314,2885
10671,6386
7533,8739
3063,8328
-2015,5150
-6327,640
-8550,-3272
-8146,-5246
-5756,-5025
-2958,-3360
-1481,-1336
-2112,71
-4412,496
-6818,-197
-7696,-1757
-6011,-3701
-2147,-5280
2532,-5667
6354,-4316
8171,-1254
7960,2738
6642,6431
5527,8687
5509,9037
6628,7876
8121,5942
8894,3869
8097,1820
5515,-368
1726,-2840
-2485,-5327
-6277,-6809
-9145,-6323
-10871,-3396
-11471,1479
-10908,6550
-9345,9744
-6885,9807
-3797,6877
-492,2541
2521,-1025
4812,-2414
5877,-1793
5510,-690
3817,-780
1375,-2664
-928,-5420
-2264,-7214
-2311,-6591
-1466,-3443
-488,719
-256,3839
-1045,4504
-2423,2878
-3451,378
-3287,-1272
-1633,-978
1083,1173
3900,4206
5608,6850
5407,8182
3294,7953
-67,6290
-3500,3649
-5890,566
-6714,-2565
-6164,-5144
-4821,-6668
-3435,-6887
-2450,-5770
-2027,-3894
-2157,-2275
-2981,-2077
-4794,-3924
-7945,-7466
-12228,-11266
-16658,-13394
-19635,-12184
-19564,-7353
-15815,-214
-9183,6872
-1726,11748
4032,13510
6156,12925
4125,11704
-1019,11363
-7198,12372
-12186,13917
-14493,14757
-13861,14017
-11044,11758
-7364,8678
-4093,5460
-2048,2442
-1761,-481
-3214,-3276
-5997,-5348
-9099,-5942
-11148,-4537
-10836,-1620
-7678,1380
-2442,2853
3013,1941
6498,-677
6632,-3323
3579,-4072
-886,-1994
-4509,2236
-5487,6918
-3206,10448
1659,12162
7617,12379
12860,11786
15918,10668
15692,8595
11911,4963
5155,-314
-3018,-6320
-10478,-11386
-15164,-14240
-15697,-14410
-12155,-12564
-5944,-10068
648,-8027
5274,-6768
6669,-5925
4909,-5055
1508,-4150
-1647,-3553
-3039,-3559
-2258,-4057
304,-4514
3815,-4322
7505,-3440
10960,-2416
13758,-2139
15201,-3392
14366,-6132
10776,-9399
4920,-11766
-1403,-11970
-5794,-9606
-6549,-5440
-3573,-1105
1284,1724
5535,2087
7452,323
6852,-2092
4869,-3383
2924,-2458
1583,520
531,3934
-976,5945
-3203,5749
-5586,4071
-7095,2925
-7052,4385
-5498,9038
-3135,15523
-808,20951
1094,22440
2757,18820
4481,11151
6360,2454
8089,-3955
9156,-6088
9141,-4089
7848,29
5325,3496
1934,4191
-1660,1545
-4410,-3398
-5226,-8742
-3561,-12528
-40,-13779
3931,-12565
6574,-9466
6890,-5339
5233,-795
2880,3641
1208,7398
890,9774
1654,10250
2934,8751
4098,5873
5086,2781
6040,702
6935,414
7412,2063
6957,5049
5352,8268
2912,10562
380,11135
-1307,9677
-1647,6361
-512,1881
1775,-2826
4714,-6674
7640,-8765
9674,-8564
10012,-6106
8034,-1928
3918,3070
-1252,7855
-5935,11394
-8709,13042
-8911,12472
-6928,9877
-4022,5950
-1528,1498
-284,-2416
-360,-4841
-1146,-5011
-2018,-2653
-2583,1588
-2834,6245
-3052,9416
-3366,9590
-3558,6402
-3341,962
-2701,-4638
-1946,-8057
-1548,-7986
-1756,-4569
-2325,623
-2349,5349
-1032,7837
1847,7544
5607,5330
9032,2571
10944,564
10863,-186
9273,38
6962,594
4630,1005
2546,1292
756,1819
-551,3029
-827,4797
384,6557
2845,7539
5439,7036
6837,5040
6172,2051
3835,-1073
1064,-3557
-762,-4997
-1058,-5434
-409,-5203
26,-4667
-404,-4242
-1233,-4113
-1324,-4487
230,-5360
3093,-6716
5735,-8243
6354,-9473
4349,-9814
842,-9107
-2039,-7748
-2526,-6516
-347,-6313
3096,-7122
5732,-7955
6160,-7233
4598,-3753
2665,2238
2072,9083
3581,14288
6401,16086
8756,14193
9125,10079
7223,5928
3892,3358
531,2790
-1787,3379
-2810,3834
-2984,3109
-3031,1176
-3618,-1412
-5243,-3870
-8189,-5622
-12287,-6617
-16721,-7117
-20237,-7553
-21272,-8201
-18889,-9064
-13368,-9675
-6358,-9614
-155,-8491
3579,-6580
4578,-4419
3900,-2554
3058,-1413
2917,-926
3091,-667
2362,-235
-193,545
-4191,1410
-8005,1994
-9467,2116
-7169,1922
-1355,1763
6011,2048
12329,2831
15472,3671
14798,3836
11299,2793
6738,514
2591,-2357
-455,-4584
-2521,-4904
-4040,-2887
-5348,868
-6213,4862
-6076,7278
-4394,6984
-1096,4059
3274,-355
7829,-4669
11648,-7666
13945,-8857
14431,-8600
13016,-7499
9823,-5786
5280,-3350
272,-140
-3998,3436
-6388,6205
-6216,6663
-3652,3853
284,-1907
4076,-8732
6445,-13751
6800,-14525
5480,-10409
3444,-2871
1532,5187
58,10853
-1156,12546
-2399,10577
-3760,6596
-4997,2457
-5769,-549
-5790,-2194
-5063,-2980
-3591,-3387
-1496,-3512
1178,-3044
4276,-1818
7333,-188
9843,773
11469,117
12315,-2337
12954,-5613
13773,-8098
14622,-8395
14588,-6165
12557,-2514
8069,549
1912,1093
-3975,-1748
-7382,-7166
-7026,-13023
-3445,-16984
1507,-17229
5357,-13269
6401,-6169
4435,1997
566,8800
-3606,12467
-6926,12502
-9180,9974
-10617,6946
-11411,5277
-11485,5502
-10497,6805
-8359,7639
-5430,6974
-2353,4985
397,2946
2870,1994
5487,2316
8393,2781
11035,1925
12225,-791
10976,-4460
7030,-7212
1521,-7603
-3573,-5590
-6437,-2645
-6475,-704
-4500,-957
-2336,-3254
-1738,-6156
-3342,-7913
-6445,-7612
-9280,-5405
-10103,-2527
-8249,-647
-4487,-1027
-869,-3982
523,-8678
-1227,-13375
-5270,-16109
-9292,-15335
-10902,-10826
-9102,-3910
-4861,3144
-584,8040
1358,9559
-56,7909
-3831,4540
-7556,1088
-8757,-1208
-6339,-1947
-1001,-1398
5093,-231
9721,781
11418,1069
10259,339
7362,-1292
4272,-3381
1813,-5170
67,-5818
-1374,-5049
-2941,-3104
-4607,-889
-5715,483
-5596,249
-3873,-1456
-1047,-3664
1779,-5420
3505,-6256
3612,-6624
2433,-7441
923,-9401
157,-12275
417,-14805
1071,-15472
1017,-13211
-643,-8166
-3870,-1920
-7697,3169
-10556,5108
-11268,3153
-9681,-1559
-6773,-6551
-3882,-9004
-2021,-7310
-1333,-1798
-1213,5326
-642,11117
974,13222
3826,11091
7290,6281
10336,1604
12022,-576
11721,657
9551,4311
6430,8237
3446,10344
1668,9384
1637,5466
3075,-249
5402,-6097
7910,-10534
9873,-12531
10624,-11810
9747,-9069
7154,-5406
3231,-2246
-1130,-536
-4580,-543
-5954,-1794
-4947,-3320
-2164,-4049
1117,-3323
3472,-1122
3919,1869
2195,4603
-1173,6101
-5184,5834
-8549,3899
-10101,1216
-9195,-1071
-5940,-1941
-1266,-981
3453,1336
7028,3890
8946,5603
9445,5751
9286,4279
8957,1812
8428,-776
7191,-2804
4493,-3863
32,-3955
-5419,-3541
-10173,-3379
-12104,-4277
-9872,-6773
-3611,-10689
4575,-15266
11404,-19088
13969,-20789
11045,-19310
3887,-14523
-4382,-7362
-10197,482
-11269,7118
-7501,11049
-765,11692
6168,9459
11083,5569
13136,1526
12699,-1199
10865,-1720
8466,7
5907,3190
3358,6625
1015,9134
-613,10158
-995,9656
114,8116
2217,5995
4233,3686
4946,1437
3713,-470
767,-1600
-2819,-1618
-5604,-442
-6553,1321
-5509,2548
-2965,2122
-36,-309
2348,-3948
3890,-7167
4586,-8086
4615,-5883
4061,-1260
2840,3774
959,7024
-1292,7099
-3211,4350
-4135,626
-3792,-1705
-2606,-1210
-1601,1717
-1651,4967
-3054,6078
-5169,3632
-6810,-1623
-6884,-7130
-5094,-9986
-2086,-8734
1021,-4155
3268,1215
4270,4703
4167,5001
3404,2966
2338,795
957,472
-885,2667
-3286,6333
-6003,9481
-8284,10449
-9355,8789
-8712,5366
-6281,1731
-2722,-654
949,-923
3867,899
5460,4067
5586,7594
4352,10399
2154,11626
-403,10938
-2655,8635
-3949,5453
-3905,2503
-2524,399
-364,-598
1848,-790
3374,-748
3870,-889
3484,-1152
2684,-1043
2127,-43
2262,2019
3194,4863
4604,7704
5890,9827
6449,10738
6008,10324
4666,8922
3080,7023
1932,5334
1675,4509
2045,4863
2303,6154
1796,7473
378,7464
-1376,5342
-2375,1372
-1695,-2968
938,-5514
4791,-4626
8587,-348
11102,5581
11861,10548
11370,12474
10658,11094
10638,7547
11370,3642
12119,683
11766,-1072
9786,-2092
6691,-2880
3834,-3486
2608,-3593
3468,-3056
5565,-2200
7075,-1988
6521,-3170
3691,-5884
26,-9434
-2413,-12566
-2166,-14119
490,-13325
3643,-10164
4776,-5272
2235,273
-3571,5157
-10173,8173
-14243,8727
-13293,7044
-6863,4119
3207,1208
13601,-819
21070,-1904
23418,-2511
20184,-3202
12804,-4161
3895,-4955
-3706,-4932
-7920,-3618
-8105,-1055
-5342,2251
-1869,5523
-59,8039
-1203,9176
-4942,8558
-9449,6249
-12353,2953
-12140,-338
-8973,-2484
-4679,-2889
-1496,-1672
-882,369
-2683,2134
-5388,2874
-7160,2388
-6955,906
-5086,-1035
-2949,-2909
-2055,-4124
-3069,-4005
-5521,-2185
-7951,1093
-8783,4787
-7360,7470
-4269,7908
-1018,5973
719,2900
179,551
-2090,369
-4475,2482
-5297,5447
-3792,6853
-403,4813
3380,-913
5893,-8563
6207,-15106
4442,-17833
1743,-15834
-556,-10329
-1388,-4178
-573,-21
1381,702
3632,-1603
5257,-5094
5565,-7700
4189,-7866
1236,-5120
-2912,58
-7538,6778
-11920,13780
-15420,19691
-17509,23216
-17970,23444
-16934,20119
-14790,14019
-12169,6756
-9822,76
-8267,-4593
-7568,-6563
-7202,-5885
-6454,-3292
-4705,106
-1870,3163
1403,4922
4118,5062
5436,4106
5064,2875
3505,1943
1631,1249
173,60
-759,-2101
-1705,-5171
-3627,-8099
-6985,-9660
-11364,-9306
-15424,-7645
-17648,-6197
-17236,-6256
-14443,-8091
-10486,-10649
-6722,-12225
-4022,-11577
-2450,-8652
-1533,-4507
-905,-486
-681,2456
-1362,4248
-3274,5383
-6272,6239
-9589,6948
-12206,7110
-13339,6278
-12805,4187
-10988,1102
-8483,-2095
-5948,-4350
-3861,-4806
-2401,-3135
-1503,135
-842,3913
61,6958
1519,8339
3471,7647
5302,5220
6066,1872
4971,-1387
2041,-3610
-1715,-4044
-4718,-2597
-5768,196
-4675,3301
-2496,5666
-875,6800
-1081,6925
-3093,6704
-5595,6642
-6644,6518
-4835,5597
-429,3144
4873,-832
8584,-5295
8943,-8409
5912,-8704
1121,-5675
-3097,-351
-5104,5201
-4651,8792
-2905,9083
-1509,6090
-1544,1368
-3020,-2815
-4964,-4332
-6350,-2200
-6646,2999
-6173,9130
-5776,13741
-5997,15168
-6717,13277
-7037,9272
-5877,5033
-2717,1909
1872,258
6295,-432
8544,-822
7207,-1010
2411,-571
-3996,1055
-9312,3852
-11382,6827
-9530,8674
-5007,8498
-123,6343
2890,3269
3031,553
758,-1275
-2650,-2535
-5929,-3958
-8452,-5899
-10162,-7825
-11097,-8497
-10954,-7114
-9135,-3791
-5536,154
-993,2926
2770,3553
3995,2444
2200,1042
-1449,945
-4549,2894
-4962,6347
-2007,9864
3064,12045
7735,12353
9843,11433
8840,10339
6002,9941
3433,10291
2750,10711
4040,10375
6035,8969
6969,6872
5772,5131
2722,4681
-945,5738
-3884,7801
-5460,9836
-5918,10776
-6086,10182
-6522,8268
-6970,5642
-6476,2906
-4047,666
411,-725
5724,-832
9813,518
10820,2961
8280,5391
3251,6300
-2064,4355
-5759,-798
-6838,-8230
-5640,-15884
-3121,-21649
-116,-24245
2994,-23698
6157,-20839
9310,-16776
11922,-11994
13029,-6493
11916,-219
8699,6154
4400,11176
530,13226
-2027,11707
-3196,7431
-3680,2293
-4177,-1692
-4825,-3343
-5131,-2776
-4628,-893
-3299,1227
-1691,3008
-588,4174
-215,4596
-207,3971
185,1953
1326,-1543
2871,-5939
3910,-10242
3502,-13205
1704,-14026
-493,-12618
-1636,-9653
-778,-6054
1942,-2773
5324,-530
7799,282
8235,-292
6572,-1923
3833,-3892
1462,-5469
490,-5967
1114,-5095
2504,-2912
3590,170
3455,3654
2246,6826
810,9004
190,9400
776,7495
2323,3293
4206,-2253
6137,-7530
8399,-10663
11137,-10351
14048,-6559
15878,-566
15345,5575
11891,9868
6408,11167
950,9326
-2674,5284
-3831,310
-3369,-4349
-3033,-7762
-4310,-9406
-7574,-9388
-11795,-8311
-15353,-6956
-16819,-5848
-15697,-4785
-12387,-2897
-7812,702
-3093,6155
840,12308
3234,17094
3671,18396
1975,15171
-1431,7799
-5631,-1992
-9387,-11939
-11732,-19741
-12064,-23740
-10632,-22988
-8387,-17759
-6345,-9658
-5395,-1326
-5628,4174
-6509,4645
-7013,-144
-6296,-8266
-4209,-16412
-1260,-21436
1531,-21698
3119,-17636
2757,-11230
291,-4947
-3621,-502
-7698,1494
-10140,1639
-9473,1014
-5351,619
862,897
6494,1643
8640,2180
5769,1999
-1301,1112
-9690,169
-15817,17
-17129,1074
-13491,2978
-6925,4633
-559,4891
3004,3349
2974,467
367,-2733
-2828,-5350
-4554,-7193
-3640,-8539
-145,-9812
4870,-10776
9728,-10623
12869,-8439
13280,-3983
10870,1981
6530,7664
1824,11098
-1692,11100
-2982,7803
-1812,2630
1187,-2585
4940,-6118
8285,-7357
10219,-6693
10119,-5170
7999,-3672
4287,-2773
-136,-2457
-4096,-2395
-6600,-2096
-7097,-1093
-5664,931
-3101,3991
-625,7602
760,10853
487,12798
-1185,12647
-3552,10238
-5883,6122
-7796,1449
-9139,-2212
-9909,-3526
-10005,-1711
-9204,2824
-7444,8490
-4963,12938
-2253,14141
