I,Q
3571,4530
3640,4115
2816,2545
1265,374
-1765,-1715
-5727,-3222
-9769,-3462
-12588,-3310
-12934,-2587
-10554,-1965
-5807,-1524
251,-1280
5739,-1406
9273,-1866
10062,-2823
7731,-4302
2756,-5930
-3586,-7699
-8882,-8512
-10847,-7941
-8705,-6257
-2468,-3280
5975,96
12722,3296
15438,5048
13624,4804
8789,2902
3288,-231
-69,-3405
37,-6530
2514,-8490
5356,-9104
6291,-7975
3860,-5020
-1751,-939
-9226,3498
-16169,6362
-20476,7057
-21068,5829
-17805,3322
-11548,462
-3993,-1304
2694,-614
6880,2110
8630,6340
7757,10190
5613,12047
3313,11302
776,7222
-1092,1254
-3096,-5525
-4323,-11402
-5180,-15348
-5207,-16880
-4643,-16694
-3586,-15027
-1981,-11610
-254,-6726
1348,-733
2426,5539
2690,10487
1826,12438
659,11276
-574,7970
-1463,4218
-1313,1579
-1468,638
-3023,597
-5985,64
-9637,-2783
-12236,-7962
-11695,-13461
-7817,-17509
-1442,-18087
4716,-14793
8370,-8237
8321,176
5141,7563
1430,12472
-328,14006
508,12483
3817,8488
7504,4190
9779,1012
10143,-611
8421,-742
6101,-439
4006,-1365
2143,-3673
604,-6726
-1409,-9375
-3605,-10095
-5670,-9113
-6089,-6773
-4477,-4444
-1196,-3184
2250,-2710
3967,-2189
2349,-960
-1880,1524
-7149,4497
-10458,6505
-10257,6817
-7106,4982
-2644,1934
920,-912
1570,-1743
-497,353
-3745,4006
-6005,7194
-6367,7821
-4418,4974
-876,-591
3028,-6754
6826,-10497
9171,-10051
9848,-6280
7573,-385
3299,4217
-1900,5962
-6066,5053
-7321,2809
-5563,1199
-1905,1857
1456,4734
2945,7931
2492,9813
1397,8963
676,5570
1436,1392
3579,-1925
5623,-3829
6625,-4109
5945,-3715
4184,-3188
2002,-2729
-330,-1765
-2500,273
-3953,2852
-5562,4551
-6804,4704
-6894,3159
-5782,247
-3238,-2200
-149,-2478
1848,-314
2019,3354
626,7543
-1681,10309
-2992,10322
-2354,8053
479,3945
4281,-1232
6788,-6071
6836,-9901
4852,-11977
1732,-12064
-456,-10195
-669,-7290
690,-4153
2590,-1817
3604,-362
3102,306
1561,477
-473,676
-1889,825
-2457,760
-1866,585
-590,628
1293,1982
3208,4580
4301,8261
4177,11988
2562,14520
470,15255
-696,14240
-536,12303
1380,9924
3769,7445
4984,4533
4244,848
1680,-2529
-1675,-4490
-4657,-3832
-6005,-661
-5822,3563
-5179,6614
-4383,7029
-4193,4128
-4443,-326
-4598,-4000
-3575,-5100
-1065,-3568
2971,-952
7187,1253
10332,1649
10741,-210
8027,-2558
2857,-4654
-2254,-5370
-5516,-4827
-5965,-3389
-3698,-1608
-540,97
1984,1406
2234,2251
1034,2406
-1680,1589
-4395,104
-6717,-2199
-8253,-4058
-8511,-5361
-7262,-6743
-4278,-7937
149,-10038
4345,-12013
6913,-12469
6844,-10227
4346,-4364
664,3872
-2648,11638
-4295,15881
-4461,14414
-3792,7836
-3589,-1932
-4475,-10558
-6213,-14690
-7837,-13242
-8754,-7174
-8160,903
-6335,7768
-4698,11857
-3901,12621
-4088,12102
-4699,10650
-5451,9179
-5509,7708
-4856,5748
-3293,3139
-960,807
2619,-320
6926,-45
10928,1802
12957,3956
12337,4651
9032,3053
4395,-701
1106,-5694
634,-10525
2801,-13661
5445,-13718
6237,-11374
4097,-7643
-55,-4237
-3144,-2341
-2068,-2936
3336,-4559
11490,-6523
18674,-6396
21860,-3934
20394,70
15954,4454
10705,7827
7063,9459
6865,8694
8783,6224
11768,3190
12739,-280
11120,-3095
6520,-5358
888,-6584
-3933,-6332
-5814,-4841
-3901,-2829
1022,-708
6835,495
10549,815
11312,-593
8994,-2219
5516,-3633
2482,-3322
357,-1416
-699,2302
-1494,6620
-2912,9355
-3918,8951
-3461,4250
-2051,-3831
947,-13039
3951,-19987
5637,-22688
6081,-20749
5263,-15923
3972,-9969
2555,-5132
624,-3283
-1773,-3980
-4700,-5856
-7102,-6996
-7920,-6107
-6612,-4725
-3129,-3513
845,-4311
4750,-6728
7044,-9348
7730,-10957
7232,-9907
5742,-7840
3997,-5877
1536,-5638
-1771,-7939
-5700,-11378
-10164,-13911
-13050,-14231
-14035,-12029
-12291,-8406
-8110,-5391
-3884,-4020
-851,-4073
-722,-5277
-2838,-6089
-6089,-6033
-7962,-5412
-7406,-4035
-3844,-2607
1748,-1315
7225,-835
10644,-2279
11147,-5417
7816,-9445
2343,-13220
-3277,-14449
-7682,-12412
-9527,-7853
-9235,-2826
-7475,-28
-5592,-342
-4138,-3522
-3138,-7055
-2242,-8333
-1467,-6626
-1338,-2054
-2350,3089
-4989,6570
-8843,7729
-12963,6434
-16079,3965
-17336,2043
-16831,796
-14802,739
-12260,1093
-9761,2401
-8000,4312
-6178,6495
-4295,8378
-1634,8689
1339,7494
4462,4256
6962,604
8116,-2355
7728,-3614
6571,-2886
4838,-410
3139,3063
1755,6441
1099,9079
717,10550
1230,10881
2121,9536
3131,7237
4217,4754
5022,2617
5287,956
5114,-703
3841,-2959
2092,-5476
32,-7605
-1477,-8491
-1624,-6619
-159,-2229
2215,3183
4459,7072
4862,8246
3553,5946
931,1890
-1655,-1783
-3235,-2819
-3531,-219
-3052,4374
-2154,9134
-1525,12108
-782,12380
378,10075
1861,6032
3043,1235
3963,-3787
4231,-8630
4033,-12801
3135,-16145
1373,-17571
-1389,-17767
-4868,-16506
-8420,-14808
-11305,-12457
-12410,-9446
-10625,-4971
-6745,107
-1384,4741
3189,6987
6314,5921
7383,1897
7484,-3225
6725,-6443
6054,-6274
5411,-1991
4597,4304
3323,9827
1857,13051
427,13722
25,12234
1196,10960
3686,10377
6739,10765
8966,11201
9230,10734
7641,9406
4935,7057
1831,5041
-192,3787
-938,4092
-223,5116
1280,5986
3614,5180
6080,2615
8514,-1505
10209,-6157
10369,-9947
9018,-11895
6126,-11456
1918,-8501
-2784,-3757
-6770,1343
-9625,5167
-10303,6839
-9219,5896
-7011,3295
-4415,-237
-1839,-3095
-29,-4592
1258,-4687
3019,-3888
5055,-3499
6774,-4040
7222,-5813
5519,-7269
2468,-7734
-570,-6486
-1747,-3339
-699,339
1369,2907
3325,2961
3833,170
2538,-4201
1151,-8426
778,-10387
1875,-9164
3131,-5705
2890,-1240
-181,3495
-5125,7576
-9965,10822
-11837,13350
-9540,15346
-3439,15326
3938,12467
9999,7087
13308,351
13691,-5661
12763,-9501
11575,-10932
10953,-10335
10199,-8235
8154,-5928
4854,-3442
-171,-1442
-4430,-338
-6531,-151
-5346,-1243
-2163,-3446
1238,-5830
2789,-7751
1409,-8967
-2613,-9301
-6724,-8924
-8922,-8304
-7983,-7283
-4069,-6143
897,-4784
4937,-3840
6320,-3070
5695,-2497
3724,-1488
1833,458
786,3171
536,5381
316,6568
-873,5853
-2859,3454
-5430,340
-7284,-2278
-7327,-3211
-5843,-2398
-3518,13
-2025,3206
-1581,6363
-3593,8755
-6411,9312
-8532,7782
-8376,3651
-5973,-2767
-2393,-9978
493,-15779
1065,-18328
-604,-17230
-2834,-12808
-3896,-6902
-2521,-1457
1400,2466
6683,4518
11479,5755
14423,6686
15226,7293
14581,6666
13683,4085
12926,-130
12065,-4525
10510,-7254
7206,-7252
2258,-4183
-3076,598
-7066,4037
-8179,4708
-6230,1834
-2348,-3393
1618,-9466
3346,-13591
2324,-14836
-971,-13291
-4259,-9697
-6195,-5127
-6159,-1132
-4745,1705
-3533,3335
-3340,3915
-4758,3949
-7598,3178
-10705,1606
-13222,-1664
-13836,-6242
-12305,-11396
-8747,-16028
-4269,-18413
-37,-17956
2842,-13669
3844,-7065
3016,1618
1276,9673
-754,15428
-1345,17148
-469,14726
2153,9543
5395,3890
8860,138
11502,734
12901,5162
12677,11230
11312,16087
9734,17376
8109,14170
6512,7163
4718,-867
2849,-7358
981,-10692
250,-9505
1335,-4954
4286,812
8107,5620
11322,7914
13004,7041
12859,4224
11386,1741
9258,1538
7367,4556
5634,9424
3115,13605
-644,14468
-5392,10447
-10457,1689
-13971,-8930
-14725,-17953
-12494,-23233
-8264,-23896
-2823,-21268
2913,-15991
7399,-9675
9973,-3322
9854,1382
8146,3381
5631,1887
3607,-2886
2168,-9190
1311,-14470
462,-16210
-1217,-13086
-3321,-5681
-5294,3621
-6666,11004
-7278,14058
-7035,12671
-5842,7887
-3952,3160
-1352,1066
1050,2866
3161,7779
3254,12673
804,14961
-3463,12382
-8752,5136
-13147,-4642
-14825,-13634
-13678,-18045
-10725,-17132
-6794,-11152
-2758,-2641
665,5865
2895,10640
3856,12130
4101,10683
3912,7784
3117,5061
1761,3099
-265,2018
-2342,880
-4052,-532
-4277,-2041
-2887,-3403
-54,-4376
3171,-4515
5805,-4122
7017,-2901
7311,-18
7212,4540
7999,10288
10382,15559
13788,18457
16929,17189
18633,11855
17744,3821
14209,-4721
9395,-10621
5883,-12433
4419,-10769
5245,-6999
6706,-3465
7001,-1477
4985,-1705
970,-3844
-3385,-7410
-6410,-11334
-6081,-15330
-3511,-18852
473,-21575
3893,-23046
5942,-22371
6854,-19355
7679,-12999
9367,-4412
11314,4998
12655,12111
12204,14813
10868,12972
8999,7390
7596,505
7893,-4982
9114,-7842
10087,-8454
10163,-7161
8232,-5904
5790,-5035
4468,-4462
5151,-4059
8112,-3966
11616,-4320
13529,-5487
12670,-7460
8080,-9676
1322,-10936
-6335,-10026
-11753,-6542
-13679,-1055
-11345,5237
-5554,11129
1806,15505
7931,17307
11647,16476
11725,12556
8467,5988
2825,-1578
-2497,-8249
-6178,-11333
-7495,-10961
-6825,-7094
-4807,-2423
-2277,1320
-281,2765
1446,2766
2571,2811
3370,4432
3820,8119
3930,12536
3084,15917
1454,16482
-755,14104
-3715,9071
-7150,3168
-10017,-2008
-12078,-5368
-12834,-7067
-11359,-7536
-8298,-8280
-3877,-8992
458,-9890
3200,-10521
3509,-10678
845,-10400
-3586,-9870
-8576,-8773
-12677,-8018
-14687,-6923
-14590,-6371
-12456,-6365
-9220,-6830
-5601,-7608
-2899,-7507
-1522,-5608
-1927,-1049
-3978,5433
-7191,11575
-10348,15294
-12282,15032
-11712,10615
-7949,3451
-1569,-5157
5636,-11452
10741,-14437
11680,-13514
7963,-10120
1142,-5609
-6026,-1121
-10802,1842
-12098,2520
-10182,1358
-6750,-2003
-2763,-6512
1265,-10991
5449,-14072
9977,-14695
13556,-12648
15262,-8747
14619,-4260
10900,-121
4971,2452
-1360,4550
-6674,6498
-9407,8880
-8731,11343
-5155,12782
445,11717
6636,7309
10880,332
12311,-7301
9712,-13350
4466,-16966
-1739,-17786
-6730,-16592
-8808,-14335
-7079,-11541
-1610,-8488
6037,-4293
13602,836
18643,6385
19825,10552
17638,11758
12766,9576
6273,4884
179,-651
-4220,-4223
-7152,-4350
-9175,-1310
-10386,2673
-11524,4887
-11799,4473
-10945,1613
-8573,-1808
-5305,-3436
-2162,-3003
134,-1049
912,-179
980,-2055
642,-7119
885,-12711
1338,-16136
1723,-14668
1982,-8074
1876,2928
870,13192
-1128,19541
-3139,20631
-4377,17296
-4343,11555
-2992,5424
-998,1420
744,-410
830,-1311
-1303,-1670
-5187,-1953
-9162,-2035
-12030,-632
-12572,2699
-11423,7388
-9738,12404
-8998,15742
-10575,16534
-13877,14731
-18000,10587
-21338,5604
-21781,942
-19684,-2535
-14806,-5235
-8457,-7484
-2628,-9373
624,-10658
806,-10778
-1343,-8939
-3153,-5297
-2775,-270
701,5303
6386,10130
11642,12893
14636,13359
14374,11418
11014,8150
5667,4714
762,1913
-3082,635
-5150,86
-6203,-281
-6533,-1060
-6477,-2126
-6285,-2392
-5731,-1206
-4867,2817
-3807,8687
-2752,15137
-1483,20020
594,22167
3356,21639
6607,18601
9569,14563
11536,10332
11928,6640
10967,3819
8911,2394
6236,2077
3592,2861
1243,4029
-409,4586
-1163,4273
185,3222
3071,2338
6792,2298
9687,3017
10724,3510
10031,2500
8358,-814
7101,-5714
6923,-10436
7203,-12378
6960,-10796
4366,-5720
337,749
-4195,4625
-6847,4344
-6206,-434
-2342,-7456
2191,-13543
4865,-16281
3014,-14831
-2926,-10550
-10770,-5076
-17145,-1298
-19242,-266
-16391,-1920
-9763,-5163
-970,-8236
7243,-9077
12942,-6716
15546,-1956
15436,3170
13566,6146
10556,5772
5690,2347
-478,-1860
-6417,-4073
-10187,-2323
-11126,3514
-8720,10607
-4455,15324
-749,15886
231,11823
-2349,4966
-7715,-1440
-13200,-5277
-15983,-5892
-14518,-4321
-8994,-2706
-955,-2711
6095,-3769
10414,-5107
10804,-4683
8611,-1648
6342,4086
5566,10835
6628,16678
7755,19664
7267,19393
3633,16664
-2343,12400
-8580,7236
-11497,1399
-9223,-4638
-2091,-10332
7026,-14228
13865,-15649
16506,-14162
13807,-10583
7977,-5289
1570,-182
-3542,3627
-6270,5459
-7697,6441
-8739,6465
-9989,6380
-10406,5001
-9368,2207
-6310,-1625
-2322,-5576
739,-7645
1735,-7130
863,-4922
-987,-1890
-2294,-959
-2185,-3241
-963,-7996
120,-13565
-110,-16950
-2829,-17167
-7526,-13576
-12623,-8038
-16298,-1922
-17238,3216
-14534,6586
-9727,7900
-3486,7547
770,5380
2223,2404
1254,-732
-965,-3425
-2955,-5346
-3861,-6048
-4325,-5921
-5264,-5245
-7352,-3956
-10214,-1848
-12073,298
-12061,2870
-9842,5317
-6341,6690
-2953,6883
-1220,5543
-956,3546
-1512,1444
-2038,-591
-1772,-2061
-1166,-3644
-626,-5747
-832,-7844
-997,-9783
-998,-10531
-250,-10284
1005,-8691
1579,-6571
1063,-4958
-1017,-3996
-3017,-3498
-4581,-2751
-4854,-1445
-4011,457
-3070,2158
-2679,2474
-3305,908
-4211,-2330
-5189,-5845
-6028,-8538
-6517,-9170
-6763,-8156
-6359,-5963
-4845,-4069
-2310,-3787
1110,-4332
4341,-4942
6240,-4133
6665,-1069
6299,2914
5923,6553
6737,7813
8531,6602
11207,3644
13049,1123
14114,991
13818,3458
11949,7382
8452,10080
3554,9574
-2151,6151
-6988,1125
-9335,-3540
-9090,-6205
-6543,-5941
-3430,-4156
-1624,-1750
-2476,-159
-4937,484
-7632,-271
-8708,-2129
-6969,-4275
-2731,-6088
2632,-6332
7060,-4931
9193,-1550
8911,2964
7453,7241
6059,9940
5890,10329
7001,9423
8774,7234
9758,4949
9185,2569
6447,27
2328,-2896
-2406,-5774
-6574,-7766
-9901,-7459
-11874,-4556
-12847,773
-12538,6372
-11086,10314
-8375,10659
-4867,7881
-1044,3231
2680,-832
5374,-2465
6766,-1967
6402,-605
4621,-795
1805,-2767
-751,-5983
-2217,-8085
-2374,-7672
-1552,-4332
-511,470
-484,4033
-1325,5129
-2749,3357
-3979,606
-3524,-1494
-1965,-1287
975,1105
4074,4729
5998,7725
5891,9508
3673,9257
-29,7389
-3864,4518
-6486,844
-7463,-2884
-6942,-5808
-5529,-7676
-3779,-8140
-2564,-6738
-2098,-4638
-2304,-2695
-3162,-2448
-5215,-4451
-8450,-8312
-12828,-12686
-17044,-15310
-20052,-14585
-20766,-9648
-17743,-1780
-11075,6621
-3057,12470
3468,15144
6070,14835
4447,13562
-1231,12960
-7946,13735
-13839,14792
-16711,15219
-16086,14548
-13167,12548
-9143,9720
-5364,6247
-2688,3077
-2021,-218
-3451,-3621
-6426,-6070
-9772,-6977
-12195,-5611
-12283,-2421
-9145,819
-3387,2918
2825,2283
7129,-477
7683,-3350
4561,-4377
-495,-2454
-4903,1952
-6283,7474
-4154,11360
756,13555
7363,14018
13130,13742
16657,12696
16779,10392
13386,6412
6400,513
-2563,-6421
-10666,-12611
-15488,-16133
-16245,-16702
-12949,-14763
-6717,-11848
380,-9317
5944,-7643
7667,-6699
6084,-5658
2163,-4706
-1610,-4145
-3204,-4120
-2530,-4627
230,-5097
4117,-4788
8339,-3851
12172,-2585
15295,-1853
17067,-2829
16368,-5915
12808,-9604
6517,-12636
-524,-13404
-5796,-11233
-7124,-6879
-4517,-2038
951,1555
5852,2421
8323,844
7888,-1915
5879,-3584
3474,-2849
1992,427
531,4318
-1216,6691
-3655,6582
-6225,4566
-8050,3211
-8171,4758
-6649,9654
-4408,16452
-2310,22416
-405,24308
1595,20988
4273,13151
6774,3808
9126,-3682
10551,-6423
10445,-4513
9109,-72
6224,3887
2292,4797
-1731,2042
-4582,-3625
-5598,-9575
-3575,-14183
275,-15474
4569,-14094
7601,-10856
8131,-6165
6302,-1058
3465,3620
1253,8148
982,10706
1410,11628
2834,10176
4313,6907
5551,3781
6764,1210
7921,652
8370,2554
7767,5583
5986,9226
3135,11742
353,12764
-1627,11138
-2123,7586
-947,2585
1709,-2723
5250,-7130
8709,-9464
11059,-9299
11543,-6773
9440,-2264
4889,3260
-1279,8569
-6744,12268
-10129,13974
-10456,13645
-8518,11005
-5133,6994
-2117,1974
-355,-2533
-203,-5387
-1083,-5765
-2137,-3375
-2925,1433
-3353,6608
-3772,10437
-4111,10783
-4295,7303
-3948,1610
-3026,-4976
-1938,-8926
-1511,-9238
-1688,-5452
-2555,253
-2677,5526
-1448,8632
1636,8663
5810,6485
9746,3461
12057,1144
12307,233
10814,397
8139,1005
5571,1339
3161,1516
981,2147
-470,3338
-1263,5375
42,7514
2691,8532
5615,8270
7460,6095
7011,2847
4629,-753
1603,-3762
-635,-5384
-1110,-6235
-330,-5966
97,-5561
-400,-4880
-1126,-4666
-1267,-5191
385,-6274
3468,-7498
6591,-9063
7596,-10315
5446,-10722
1729,-10348
-1724,-9044
-2521,-7731
-382,-7282
3527,-7980
6560,-8852
7131,-8014
5715,-4406
3227,2101
2327,9694
3327,15660
6149,17809
8836,16355
9685,12072
8097,7436
4645,4325
690,3373
-1905,3804
-3320,4287
-3505,3439
-3639,1404
-4195,-1461
-5639,-4384
-8772,-6405
-13172,-7868
-17762,-8646
-21364,-9422
-22387,-10200
-20260,-10983
-14694,-11425
-7414,-11413
-469,-9809
3990,-7532
5283,-5171
4682,-2954
3620,-1692
3439,-1170
3652,-757
2746,-268
22,567
-4402,1406
-8856,1959
-10668,2072
-8428,1856
-2099,1920
6042,2421
13158,3695
16825,4801
16336,5015
12965,3738
7962,1152
3576,-2230
-19,-5030
-2531,-5567
-4281,-3715
-6078,457
-6905,5003
-7194,7799
-5433,7781
-1910,4823
3284,-20
8474,-4616
13042,-7991
15719,-9092
16364,-8820
14984,-7894
11667,-6210
6523,-3853
818,-260
-4146,3453
-7015,6572
-7290,7215
-4681,4403
-150,-1568
4454,-9158
7522,-14696
8326,-15855
6832,-11770
4451,-3907
1916,5295
10,11739
-1694,13932
-3132,12148
-4300,7862
-5904,3125
-6631,-585
-6635,-2575
-5593,-3503
-4022,-4052
-1701,-4001
1164,-3745
4867,-2195
8150,-229
11019,882
12830,513
13865,-1857
14662,-5426
15636,-8033
16658,-8456
16640,-6315
14484,-2546
9759,725
2543,1180
-3937,-1837
-7847,-7819
-7364,-14354
-3363,-18756
2150,-19187
6427,-14955
7661,-7325
5347,1749
873,9541
-3992,13618
-8198,13875
-10657,11094
-12075,7726
-12969,5671
-13131,5685
-12227,7022
-10013,8173
-6768,7810
-3075,5721
3,3609
2976,2481
5899,2725
9260,3475
12122,2620
13668,-36
12496,-4183
8441,-7569
2523,-8530
-3459,-6610
-6765,-3489
-7499,-1309
-5389,-1272
-2838,-3685
-1933,-6784
-3493,-8838
-6806,-8956
-10073,-6514
-11247,-3525
-9359,-1325
-5474,-1301
-1199,-4411
711,-9454
-648,-14687
-4947,-17946
-9107,-17413
-11277,-12980
-10203,-5558
-5786,2707
-1156,8497
996,10649
-279,9295
-4310,5381
-8421,1220
-9961,-1395
-7394,-2439
-1733,-1815
5311,-365
10654,1073
12605,1546
11837,987
8724,-1115
5319,-3429
2393,-5588
474,-6620
-1166,-5955
-3089,-3736
-4891,-1429
-6423,207
-6346,193
-4579,-1655
-1367,-4215
1769,-5900
4061,-7027
4278,-7438
3070,-8285
1639,-10397
683,-13432
999,-16488
1842,-17129
1678,-14941
-62,-9752
-3983,-2805
-8377,2993
-11743,5126
-12881,3443
-11137,-1841
-7923,-7366
-4217,-10222
-2122,-8460
-1444,-2682
-1492,5352
-1111,12130
389,14690
3704,12729
7515,7757
11290,2713
13411,22
13268,1259
10934,5012
7350,9231
3899,11724
1742,10786
1646,6631
3045,692
6059,-6163
8921,-11114
11474,-13429
12492,-12608
11411,-9895
8621,-6014
4172,-2555
-719,-847
-4887,-784
-6514,-2176
-5653,-3906
-2623,-4670
1080,-3962
3894,-1287
4319,2108
2603,5111
-1186,7017
-5677,6707
-9601,4348
-11506,1135
-10551,-1372
-7140,-2450
-2015,-1339
3555,1323
7636,4368
9831,6542
10532,6771
10305,5386
9991,2600
9623,-305
8356,-2653
5445,-4208
594,-4458
-5584,-4175
-11101,-4190
-13348,-5145
-11217,-7924
-4316,-12043
4935,-16660
13094,-19855
16437,-21256
13553,-20121
5608,-15988
-3668,-8995
-10757,-398
-12776,7053
-9090,11735
-2003,12967
5752,11068
11676,6921
14584,2567
14229,-591
12523,-1253
9902,135
6917,3522
3896,7317
1110,10286
-947,11462
-1575,11076
-280,9431
2168,6985
4549,4483
5444,2120
4263,-225
1178,-1552
-2709,-1884
-6058,-824
-7358,1114
-6398,2518
-3695,2289
-363,-158
2559,-4101
4433,-7884
5322,-8963
5568,-6812
4938,-1807
3274,3953
1175,7739
-1365,8212
-3686,5277
-4810,1067
-4370,-1889
-3106,-1617
-1981,1619
-1949,5308
-3660,6723
-5988,4177
-7675,-1538
-7673,-7859
-5583,-11227
-2168,-10137
1102,-5149
3645,821
4629,5191
4676,5777
3801,3629
2728,1189
1209,714
-790,2827
-3762,6940
-7031,10313
-9569,11342
-10814,9767
-10200,6086
-7444,1992
-3468,-529
704,-1060
3978,914
6000,4424
6223,8595
4668,11753
2199,13212
-628,12450
-3247,10053
-4587,6500
-4493,2982
-3104,453
-723,-597
1918,-999
3575,-778
4444,-931
4103,-1086
3327,-1140
2506,13
2596,2141
3400,5452
4864,8800
6085,11057
6781,12318
6370,12169
5073,10463
3332,8335
2121,6417
1759,5313
2132,5465
2437,7074
1873,8323
372,8534
-1630,6407
-2778,1888
-2024,-3096
885,-6022
5245,-5365
9677,-684
12135,6166
12770,11879
12061,14199
11366,13083
11525,9307
12557,4904
13394,1516
13417,-520
11397,-1769
7918,-2936
4596,-3700
3149,-3960
3981,-3398
6455,-2462
8051,-2153
7449,-3308
4586,-6250
660,-10179
-2006,-13983
-1949,-15753
897,-15115
4241,-11710
5536,-6222
2939,-51
-3523,5324
-11073,8605
-15894,9149
-15344,7373
-8538,4468
2619,1501
14344,-293
22530,-781
25263,-1080
22436,-1907
15276,-3744
5446,-5267
-3376,-5679
-8526,-4529
-9171,-1709
-6219,1982
-2629,6000
-405,9006
-1600,10365
-5569,9588
-10507,6969
-13903,3282
-13829,-624
-10314,-2931
-5605,-3471
-1896,-2147
-985,127
-2897,2220
-5826,3112
-8094,2646
-7984,872
-6127,-1217
-3604,-3284
-2433,-4642
-3189,-4751
-6169,-2916
-8842,748
-10242,4653
-8786,8005
-5470,8720
-1611,6796
532,3581
131,913
-2108,383
-4931,2542
-6097,5824
-4778,7506
-1066,5557
3354,-475
6630,-8704
7530,-15847
6117,-19365
3043,-17553
-101,-12120
-1225,-5327
-767,-514
1311,601
3887,-1497
5902,-5406
6429,-8420
5199,-8859
1815,-5978
-2803,-441
-8069,6921
-13543,14172
-17689,19672
-20456,22717
-20899,22821
-19628,20062
-17185,14603
-14268,7554
-11422,364
-9280,-5173
-8327,-7468
-8035,-7023
-7384,-4227
-5528,-529
-2538,3072
1196,5459
4188,5922
5923,4893
5779,3714
4087,2519
1935,1521
409,225
-904,-2012
-1781,-5755
-3719,-8998
-7222,-11026
-11893,-10859
-16304,-9274
-18920,-7945
-18747,-7782
-15938,-9454
-11670,-12247
-7307,-13895
-4335,-13384
-2486,-10227
-1612,-5643
-1047,-935
-773,2596
-1650,4659
-3665,6100
-7046,6984
-10850,7546
-13751,7446
-15110,6468
-14576,4255
-12629,1130
-9842,-2532
-7020,-4951
-4283,-5707
-2874,-3801
-1682,-233
-1046,4179
-283,7731
1312,9511
3474,8981
5745,6352
6677,2566
5761,-1167
2519,-3960
-1342,-4658
-5079,-3206
-6427,-262
-5515,3286
-3219,6164
-1304,7579
-1318,7784
-3551,7611
-6322,7360
-7676,7187
-5825,6375
-1108,3722
5091,-372
9598,-5229
10444,-8890
7267,-9625
1979,-6641
-3000,-850
-5809,5226
-5468,9537
-3804,10247
-2103,7109
-1952,1938
-3418,-2823
-5422,-4922
-6992,-2964
-7510,2668
-7273,9509
-7038,14592
-7421,16546
-8074,14672
-8260,10328
-7015,5901
-3486,2288
1676,556
6654,-353
9465,-726
8424,-821
3262,-577
-3915,992
-10033,3907
-12817,6887
-11145,9036
-6422,9498
-932,7393
2846,4061
3332,995
1220,-1175
-2588,-2724
-6311,-4579
-9082,-6757
-11174,-9084
-11972,-9979
-12103,-8599
-10311,-4997
-6624,-404
-1573,3000
2722,3910
4465,2910
2598,1411
-1278,1267
-4948,2974
-5903,6726
-2941,10695
2507,13384
7768,14110
10295,13409
9442,12159
6617,11507
3892,12026
2776,12223
4008,11871
6306,10602
7582,8212
6446,6374
3292,5486
-911,6621
-4321,8632
-6372,10872
-7033,11995
-7349,11227
-7775,9406
-8073,6315
-7604,3271
-4923,744
-1,-733
6125,-861
10731,725
12088,3539
9549,6300
4089,7369
-2062,5307
-6157,-376
-7477,-8863
-5855,-17362
-2351,-23375
1287,-26094
4727,-25446
7861,-22415
11031,-18275
13649,-13231
14969,-7282
13594,-304
9969,6863
5063,12514
557,14820
-2591,13485
-3826,8764
-4264,3011
-4706,-1866
-5411,-3844
-5828,-3330
-5459,-1247
-3934,1005
-2068,3228
-980,4714
-367,5216
-448,4435
82,2462
1441,-1349
3192,-6371
4662,-11099
4470,-14517
2754,-15754
235,-14236
-1314,-11266
-575,-7185
2164,-3434
5775,-755
8665,455
9343,48
7709,-1706
4940,-4058
2084,-5928
686,-6770
1354,-5978
2721,-3512
4045,-6
3775,3863
2453,7489
665,10139
-32,10644
529,8736
2345,4200
4589,-1820
6863,-7770
9692,-11497
12862,-11191
15859,-6994
17674,-390
16886,6432
13129,11191
7284,12779
1286,10867
-2944,6439
-4329,882
-3807,-4693
-3252,-8716
-4499,-10673
-7853,-10783
-12515,-10000
-16387,-8469
-18141,-7467
-17148,-6293
-14150,-4159
-9230,140
-3978,6286
243,13302
2654,18641
3054,20371
1634,17271
-1838,9540
-6272,-1473
-9841,-12929
-11614,-21362
-10959,-26076
-9555,-25399
-8131,-20445
-6733,-12004
-6038,-2499
-6439,4058
-7485,5144
-8013,107
-7093,-8865
-4169,-17883
-369,-23058
2792,-23481
4479,-19714
3639,-13068
854,-6178
-3588,-1077
-8461,1385
-11322,1579
-10839,832
-6614,464
348,1019
6822,1982
9528,2705
6982,2427
-907,1494
-10156,154
-17177,-813
-19035,253
-15516,2438
-8559,4699
-1341,5356
3076,4005
3573,1022
720,-2792
-2851,-5823
-4773,-8214
-3967,-9682
-90,-11107
5345,-11984
11140,-11610
14620,-9041
15005,-4482
12504,2060
7716,8526
2242,12256
-2120,12533
-3564,9110
-2530,3374
1033,-2527
5499,-6525
9296,-7895
11537,-7318
11707,-5627
9417,-4039
5424,-3233
295,-2756
-4287,-2732
-7383,-2520
-7991,-1646
-6625,556
-3965,4122
-1132,8323
452,12018
57,14308
-1699,14345
-4231,11668
-6871,7181
-8695,2001
-10303,-2484
-11015,-4339
-11186,-2548
-10560,2340
-8780,8770
-6286,13797
-3510,15614
